src,tar,src_type,tar_type,is_net,arc_delay
_536_/A1,_536_/Y,pin,pin,0,2.2930234100382307e-11
_536_/A2,_536_/Y,pin,pin,0,2.8344422295378813e-11
_536_/B1,_536_/Y,pin,pin,0,2.056903085356776e-11
_536_/B2,_536_/Y,pin,pin,0,2.0136437656192996e-11
_536_/C,_536_/Y,pin,pin,0,2.1704915642573042e-11
_538_/A1,_538_/Y,pin,pin,0,2.773914431486446e-11
_538_/A2,_538_/Y,pin,pin,0,2.937390261581463e-11
_538_/B,_538_/Y,pin,pin,0,1.8499776363589682e-11
_539_/A,_539_/Y,pin,pin,0,1.0321517078526465e-11
_539_/B,_539_/Y,pin,pin,0,1.551049566561602e-11
_539_/C,_539_/Y,pin,pin,0,1.3158074456398605e-11
_540_/A,_540_/Y,pin,pin,0,1.017108879758366e-11
_541_/A1,_541_/Y,pin,pin,0,2.257365475100137e-11
_541_/A2,_541_/Y,pin,pin,0,3.0523139571414504e-11
_541_/B,_541_/Y,pin,pin,0,2.5915269930010254e-11
_542_/A,_542_/Y,pin,pin,0,1.0758477442252001e-11
_542_/B,_542_/Y,pin,pin,0,1.4584507213033504e-11
_542_/C,_542_/Y,pin,pin,0,1.632264635953451e-11
_543_/A,_543_/Y,pin,pin,0,2.3087136369337458e-11
_543_/B,_543_/Y,pin,pin,0,2.3732127374387346e-11
_544_/A,_544_/Y,pin,pin,0,2.2998564858101034e-11
_544_/B,_544_/Y,pin,pin,0,2.5019529850678346e-11
_544_/C,_544_/Y,pin,pin,0,2.4103108398065842e-11
_545_/A1,_545_/Y,pin,pin,0,1.0405106463939884e-11
_545_/A2,_545_/Y,pin,pin,0,1.5527426566741553e-11
_545_/B,_545_/Y,pin,pin,0,1.3423516638522148e-11
_546_/A,_546_/Y,pin,pin,0,1.0458800492330056e-11
_546_/B,_546_/Y,pin,pin,0,9.364392074273642e-12
_547_/A,_547_/Y,pin,pin,0,2.135433149752508e-11
_547_/B,_547_/Y,pin,pin,0,2.484682251613357e-11
_547_/C,_547_/Y,pin,pin,0,2.424116116173103e-11
_548_/A1,_548_/Y,pin,pin,0,2.263482283548779e-11
_548_/A2,_548_/Y,pin,pin,0,2.414915142856522e-11
_548_/B,_548_/Y,pin,pin,0,2.477194838146346e-11
_548_/C,_548_/Y,pin,pin,0,2.6450973356073604e-11
_549_/A,_549_/Y,pin,pin,0,3.120454936111905e-11
_549_/B,_549_/Y,pin,pin,0,3.535377546270979e-11
_549_/C,_549_/Y,pin,pin,0,3.8038662497630327e-11
_549_/D,_549_/Y,pin,pin,0,3.7112663636706955e-11
_549_/E,_549_/Y,pin,pin,0,3.864516345819524e-11
_550_/A1,_550_/Y,pin,pin,0,2.7184251377709856e-11
_550_/A2,_550_/Y,pin,pin,0,2.6363763602765822e-11
_550_/B,_550_/Y,pin,pin,0,3.0325852939938613e-11
_550_/C,_550_/Y,pin,pin,0,3.08748478172749e-11
_552_/A1,_552_/Y,pin,pin,0,2.6601722560859464e-11
_552_/A2,_552_/Y,pin,pin,0,1.5826711469157928e-11
_552_/B,_552_/Y,pin,pin,0,2.206467647480892e-11
_553_/A1,_553_/Y,pin,pin,0,1.0338454051184165e-11
_553_/A2,_553_/Y,pin,pin,0,1.1784281883642223e-11
_553_/B,_553_/Y,pin,pin,0,7.987725064717566e-12
_554_/A1,_554_/Y,pin,pin,0,2.6798356936308387e-11
_554_/A2,_554_/Y,pin,pin,0,3.4232418982815815e-11
_554_/A3,_554_/Y,pin,pin,0,2.866494194786462e-11
_554_/B1,_554_/Y,pin,pin,0,2.2777420574660034e-11
_555_/A1,_555_/Y,pin,pin,0,1.3821248832923683e-11
_555_/A2,_555_/Y,pin,pin,0,9.557254293524053e-12
_555_/B,_555_/Y,pin,pin,0,7.764611002769595e-12
_556_/A,_556_/Y,pin,pin,0,1.4512874409178256e-11
_556_/B,_556_/Y,pin,pin,0,1.4383970577125371e-11
_557_/A1,_557_/Y,pin,pin,0,2.734062108655788e-11
_557_/A2,_557_/Y,pin,pin,0,1.3411586077816118e-11
_557_/B,_557_/Y,pin,pin,0,2.0609135925608868e-11
_558_/A,_558_/Y,pin,pin,0,2.925571937484328e-11
_558_/B,_558_/Y,pin,pin,0,2.705437436578695e-11
_558_/C,_558_/Y,pin,pin,0,2.767302706430108e-11
_559_/A1,_559_/Y,pin,pin,0,2.7877455552327568e-11
_559_/A2,_559_/Y,pin,pin,0,2.9577822829862654e-11
_559_/B1,_559_/Y,pin,pin,0,2.7254518086827773e-11
_559_/B2,_559_/Y,pin,pin,0,2.5747289716937516e-11
_559_/C,_559_/Y,pin,pin,0,2.9737382695183e-11
_560_/A1,_560_/Y,pin,pin,0,1.2238546114040627e-11
_560_/A2,_560_/Y,pin,pin,0,1.1226758238336298e-11
_560_/B,_560_/Y,pin,pin,0,9.19818995276378e-12
